first_name,middle_name,last_name,fourth,fifth,sixth,seventh,eighth,0.0000
Betagesic,SR,100mg,Tablet,PR,,,,0.7548
Isomex,10mg,Soft,Gelatin,Capsule,,,,0.6528
Antacian,Oral,Gel,,,,,,0.6681
Mensacyp,Syrup,,,,,,,0.1541
Telverge,40,Tablet,,,,,,0.6154
Auger,250mg/125mg,Tablet,,,,,,0.4088
Clomobac,DL,250,mg/250,mg,Tablet,,,0.2281
Tobazon,Eye,Drop,,,,,,0.6937
Famol,Suspension,,,,,,,0.3517
Metoprime,50mg,Tablet,XL,,,,,0.1051
Ceftol,100mg,Tablet,DT,,,,,0.1829
Lycin,Injection,,,,,,,0.7615
Nabazol,IM,6mg/400mg,Tablet,,,,,0.3983
Okacef,500mg,Capsule,,,,,,0.0925
Rabaroo,20mg,Injection,,,,,,0.8831
Mnc,Plus,Capsule,,,,,,0.6665
Dothic,25mg,Tablet,,,,,,0.5136
Decolon,25mg,Injection,,,,,,0.8154
Nor,C,Syrup,,,,,,0.9222
Atorva,80,Tablet,,,,,,0.4076
Combilox,250,mg/250,mg,Capsule,,,,0.2202
Seezole,40mg,Tablet,,,,,,0.5341
Octel-O,Tablet,,,,,,,0.0549
Lithex,400mg,Tablet,SR,,,,,0.3510
Piraflox,200mg,Tablet,,,,,,0.3979
Moxine-O,Tablet,,,,,,,0.0842
Carnisure,Syrup,,,,,,,0.7481
Glisen,MF,1,Tablet,PR,,,,0.6777
Hycip,500mg,Tablet,,,,,,0.4732
New,Zomnia,1mg,Tablet,,,,,0.0538
Travotim,Eye,Drop,,,,,,0.9651
Eriof,OZ,200mg/500mg,Tablet,,,,,0.7948
Arzola-DSR,30mg/20mg,Capsule,,,,,,0.2641
Fenograf,250mg,Tablet,,,,,,0.4591
Fendex,200mg,Tablet,,,,,,0.9660
Ciplo-TZ,500mg/600mg,Tablet,,,,,,0.7087
Kayoric,100mg,Tablet,,,,,,0.4936
Provogue,GM,2mg/500mg/0.2mg,Tablet,SR,,,,0.5393
Rofact,50mg,Tablet,,,,,,0.5782
Tenepla,M,500mg/20mg,Tablet,SR,,,,0.4690
Deflak,6mg,Tablet,,,,,,0.8598
Sprot,N,Suspension,,,,,,0.1320
Refzil,1gm,Injection,,,,,,0.7896
Silotime,4,Capsule,,,,,,0.5879
Cgrab,D,30mg/20mg,Tablet,SR,,,,0.3312
S-Citapad,5,Tablet,,,,,,0.0856
Zyfix,OZ,200mg/500mg,Tablet,,,,,0.3047
Drovat,20mg,Injection,,,,,,0.0622
Linid,XT,Tablet,,,,,,0.2338
Safegla,200mg,Tablet,,,,,,0.1853
Gabaloy-NT,Tablet,,,,,,,0.8043
Amzo,500mg,Injection,,,,,,0.4593
Ezego-L,Granules,Saunf,,,,,,0.8328
MEHTA,SURGICARE,CORN,MEDICATED,CAP,1s,,,0.5308
Tyrox,200mg,Tablet,,,,,,0.5437
Revidec,50mg,Injection,,,,,,0.7464
Falcipar,60mg,Injection,,,,,,0.7519
Omexim,200mg,Tablet,,,,,,0.3324
Aeropro,DSR,Capsule,,,,,,0.7425
Levogyl,250,mg/500,mg,Tablet,,,,0.1053
Leunase,5000IU,Injection,,,,,,0.3853
Alrik,100mg,Tablet,,,,,,0.4948
Secnac,3,Kit,,,,,,0.0269
AZEEMUNE,500MG,TABLET,,,,,,0.6089
Eumik,100mg,Injection,,,,,,0.6475
Metoton,A,5mg/25mg,Tablet,,,,,0.1714
Jexi,200mg,Tablet,DT,,,,,0.4338
Triptal,Plus,Tablet,,,,,,0.5982
Sefobac,SB,1000mg/500mg,Injection,,,,,0.0564
Boyantin,150mg,Tablet,,,,,,0.8106
Glimper,MV,2mg/500mg/0.3mg,Tablet,SR,,,,0.0752
Cyclo,200mg,Tablet,,,,,,0.3870
Oflocare,ON,200mg/500mg,Tablet,,,,,0.3792
X,Nem,1000mg,Injection,,,,,0.2724
Ilife,0.50%,Eye,Drop,,,,,0.2609
Glenvirax,800mg,Tablet,,,,,,0.3429
Syscillin,500mg,Capsule,,,,,,0.2988
Zolgates,400mg,Tablet,,,,,,0.8775
Topsrin,40,Tablet,,,,,,0.2089
Moflo,200mg,Tablet,,,,,,0.6314
Sezole,400mg,Tablet,,,,,,0.4393
Olvance,H,40,Tablet,,,,,0.4089
Jike,500mg,Injection,,,,,,0.2296
Pents,40mg,Injection,,,,,,0.8845
Vomara,D,30mg/40mg,Capsule,SR,,,,0.2613
Reflin,1gm,Injection,,,,,,0.7422
Minipril,2.5mg,Tablet,,,,,,0.9246
Clavicid,250mg,Tablet,,,,,,0.6350
Argipreg,Granules,,,,,,,0.1662
Sysfol,Tablet,,,,,,,0.7983
Carvadil,5mg,Tablet,,,,,,0.2786
Glimicure,2mg,Tablet,,,,,,0.5691
Neurogyl,Infusion,,,,,,,0.9261
Axcef,500mg,Capsule,,,,,,0.1883
Vopril,MV,2mg/500mg/0.2mg,Tablet,,,,,0.0966
Arosa,Duo,Spray,,,,,,0.6101
I,Lube,Eye,Drop,,,,,0.0748
PM,DSR,30mg/40mg,Capsule,,,,,0.2612
Exito-Plus,Tablet,,,,,,,0.9156
Piodexa-DT,Tablet,,,,,,,0.5312
Mxp,1000mg,Injection,,,,,,0.8902
Oromol,A,150mg,Suspension,,,,,0.4195
Zypdox,200mg,Tablet,,,,,,0.3605
Telista-AM,80,Tablet,,,,,,0.8904
Panef,DSR,Capsule,,,,,,0.7726
Etilaam,0.5,Tablet,,,,,,0.2884
Ictalam,25mg,Tablet,,,,,,0.2574
Ngcet,1000mg,Injection,,,,,,0.4817
Finecef,50mg,Syrup,,,,,,0.3604
Bestova,L,2.5mg,Tablet,,,,,0.2916
Keprax,100mg,Tablet,,,,,,0.6115
Gliozolamide,20mg,Tablet,,,,,,0.4414
Agroflox,TZ,200,mg/600,mg,Tablet,,,0.5011
Indlevo,250mg,Tablet,,,,,,0.9560
Lanopin,10mg,Tablet,MD,,,,,0.8624
Oxo,TZ,200mg/600mg,Suspension,,,,,0.6604
Sporlac,Sachet,Banana,Flavour,,,,,0.8119
Sotop,25mg,Tablet,,,,,,0.0714
Hypanto,L,75mg/40mg,Capsule,SR,,,,0.4685
Pentopen,20mg,Tablet,,,,,,0.6555
Aplaz,2mg,Tablet,,,,,,0.6881
Hitsol,6,Eye,Ointment,,,,,0.3191
Cefaone,S,500mg/500mg,Injection,,,,,0.0135
Telcer,80mg,Tablet,,,,,,0.1374
Ursomartin,300mg,Tablet,,,,,,0.6946
Wycef,S,1000mg/500mg,Injection,,,,,0.4931
Uropod,100,DT,Tablet,,,,,0.3305
Dtobra,0.30%,Eye,Drop,,,,,0.5166
Bravia,20,Tablet,,,,,,0.3434
Zincort,Cream,,,,,,,0.6555
Piratem,800mg,Tablet,,,,,,0.3502
Vanmox,CV,500mg/125mg,Tablet,,,,,0.7408
Hepcvir,400mg,Tablet,,,,,,0.4240
Lacove,50mg,Tablet,,,,,,0.1949
Amok,500mg,Injection,,,,,,0.5559
Neurobele,800mg,Tablet,,,,,,0.4571
Meka,100mg,Injection,,,,,,0.8202
Maxitam,800mg,Tablet,,,,,,0.1081
Cefavin,S,1000mg/500mg,Injection,,,,,0.1521
Release,5mg,Oral,Solution,,,,,0.3911
Ceemi,CX,250mg,Injection,,,,,0.9733
Endogest,200,Capsule,,,,,,0.2863
Oppi,R,20mg,Tablet,,,,,0.2443
Mobilene,250mg/50mg/500mg,Tablet,,,,,,0.4635
Wytoram,C,250mg,Injection,,,,,0.8538
Dicfu,20mg,Cream,,,,,,0.5420
Femtrax,T,1000mg/125mg,Injection,,,,,0.0583
Nano,CV,875,mg/125,mg,Tablet,,,0.0166
Saquin,500mg,Tablet,,,,,,0.1103
Prasugrin,10,Tablet,,,,,,0.6584
Norcem,TZ,400mg/600mg,Tablet,,,,,0.4593
Cefinid-P,200mg,Tablet,,,,,,0.5945
Glyciphage,SR,1gm,Tablet,,,,,0.4124
Nvixo-S,1.5,Injection,,,,,,0.6586
Metloc,25mg,Tablet,ER,,,,,0.3911
Avdox,200,Tablet,DT,,,,,0.5947
Zyhcg,2000IU,Injection,,,,,,0.5566
Emdar,4mg,Injection,,,,,,0.4856
Ampicloxin,DS,125mg/125mg,Capsule,,,,,0.5955
Divalsia,500mg,Tablet,ER,,,,,0.8548
Cyprosafe,Oral,Suspension,,,,,,0.1994
Podexin,AZ,Tablet,,,,,,0.7260
Cyflox,OZ,200mg/500mg,Tablet,,,,,0.3334
Ursotab,150mg,Tablet,,,,,,0.7814
Glucobay,25,Tablet,,,,,,0.1464
Imikon,Plus,5mg/25mg,Tablet,,,,,0.1210
Lexatal,C,0.5mg/10mg,Tablet,,,,,0.6772
Greenpan,40mg,Tablet,,,,,,0.2068
Atovastarin,Gold,10mg,Capsule,,,,,0.9067
Stimuli,Plus,Syrup,,,,,,0.5382
Citinol,PR,500mg/800mg,Tablet,,,,,0.2781
Endolol,5mg,Tablet,,,,,,0.8530
Cifratab,250mg,Tablet,,,,,,0.6040
PIOCON,30,MG,TABLET,,,,,0.9806
Beny,100mg,Syrup,,,,,,0.7623
Domrite,10mg,Tablet,,,,,,0.2698
Epifect,50mg,Injection,,,,,,0.1195
Pregawell,500mcg/75mg,Tablet,,,,,,0.5888
Hansepran,100,Capsule,,,,,,0.9326
Triaxen,1gm,Injection,,,,,,0.1312
Cefofix,O,200mg,Tablet,,,,,0.5885
Promolup,N,5mg,Tablet,,,,,0.2915
Delock,MR,Tablet,,,,,,0.5648
Temotide,100mg,Tablet,,,,,,0.1870
Iso,Bill,10mg,Soft,Gelatin,Capsule,,,0.4333
Pepzen,10mg,Tablet,,,,,,0.5889
Decolic,MF,80,mg/250,mg,Tablet,,,0.7979
Aziford,500mg,Tablet,,,,,,0.4637
GF,IV,Infusion,,,,,,0.5528
Actinsar,8,Tablet,,,,,,0.0524
Moxipil,250mg,Tablet,DT,,,,,0.5611
Victoza,Solution,for,Injection,,,,,0.6074
Artifer,Tablet,,,,,,,0.2813
Ocicef,SB,1500mg/750mg,Injection,,,,,0.8534
Telmijub,AM,80mg,Tablet,,,,,0.4781
Tetmosol,Total,Cream,,,,,,0.0465
Cefozed,S,500,mg/500,mg,Injection,,,0.5388
Thi,OD,Tablet,,,,,,0.9750
Clak-LB,625,Tablet,,,,,,0.7742
Entromax,F,Suspension,,,,,,0.6875
Mini,Spas,Syrup,,,,,,0.5785
Emsyl,TM,500,mg/250,mg,Tablet,,,0.7060
Fildroxil,250mg,Tablet,,,,,,0.4980
Nainxil,200mg,Tablet,,,,,,0.1959
Cabezon,Tablet,,,,,,,0.3671
Ramilong,2.5mg,Tablet,,,,,,0.6917
Halobid,5mg,Tablet,,,,,,0.2931
Veribo,GM,1mg/500mg/0.2mg,Tablet,SR,,,,0.9627
April,500mg,Tablet,,,,,,0.4095
Rabeedon,L,75mg/20mg,Capsule,SR,,,,0.1551
Gabahyd,NT,400mg/10mg,Tablet,,,,,0.0334
Lozee,M,Cream,,,,,,0.7476
Cledomox,200,mg/28.5,mg,Dry,Syrup,,,0.5726
Krocef-CV,200mg/125mg,Tablet,,,,,,0.7871
Cefdrish,500mg,Tablet,,,,,,0.7110
Citimed,250mg,Injection,,,,,,0.5592
Clindafin,A,Gel,,,,,,0.7257
Dypen,Plus,Tablet,,,,,,0.4744
Becozinc,Capsule,,,,,,,0.6931
Krondec,25mg,Injection,,,,,,0.5198
Domoz,10mg/20mg,Capsule,,,,,,0.3393
Drmet,G,Drmet,G2,Tablet,SR,,,0.1991
Conither,75mg,Injection,,,,,,0.7546
Betatric,8mg,Tablet,,,,,,0.4648
Cefitek,1000mg,Injection,,,,,,0.6705
FL,400mg,Tablet,,,,,,0.6455
Divaset,OD,750mg,Tablet,,,,,0.4832
MEGABOSE,MF,500,MG/0.2,MG,TABLET,,,0.2065
Escipra,15mg,Tablet,,,,,,0.7670
Arilax,5mg,Oral,Solution,,,,,0.0333
Pazopan,ES,40mg,Injection,,,,,0.2065
Souf,200mg,Tablet,,,,,,0.3332
Voglimark,0.2mg,Tablet,,,,,,0.9799
Enphene,25mg/30mg,Tablet,,,,,,0.7063
Ristab,3mg,Tablet,,,,,,0.0995
Clopact,A,150,mg/75,mg,Capsule,,,0.2113
Emtriaxone,SB,1000,mg/500,mg,Injection,,,0.1069
Caslot,3.125mg,Tablet,,,,,,0.1658
LR,1.25mg/25,mg,Tablet,,,,,0.1794
Qucef,50mg,Tablet,DT,,,,,0.5278
Torleva,XR,750,Tablet,,,,,0.4646
Jycob,2500mcg,Injection,,,,,,0.2028
PREVACLOT,5000IU,INJECTION,,,,,,0.6860
Crixan,OD,1000mg,Tablet,,,,,0.8230
Manvit,1gm,Injection,,,,,,0.5388
Mymazole,Vaginal,Capsule,,,,,,0.9944
Molzin,Tablet,,,,,,,0.5126
Eptil,10mg,Tablet,,,,,,0.8686
Azikab,500mg,Tablet,,,,,,0.0409
Cipladine,Ointment,10,gm,,,,,0.2508
Satromax,300mg,Tablet,,,,,,0.0895
RT,Cure,50mg,Tablet,,,,,0.2784
Dilminox,5mg,Tablet,,,,,,0.2628
Lacef,250mg,Tablet,,,,,,0.4132
Olez,10mg,Tablet,,,,,,0.1404
Natapime,250mg,Injection,,,,,,0.2480
Bravopod,200,Tablet,DT,,,,,0.5620
Dompimol,Suspension,,,,,,,0.5822
Pin,OM-M,25,Tablet,ER,,,,0.5752
Hald,200mg,Injection,,,,,,0.1491
Dicloroy,75mg,Injection,,,,,,0.2726
Deftab,6,Tablet,,,,,,0.1309
Ritolide,200,mg/250,mg,Tablet,,,,0.3861
Depracort,6mg,Tablet,,,,,,0.2339
Benadon,40,Tablet,,,,,,0.9084
COSKLOT,T,500MG,TABLET,,,,,0.7727
Leocip,500mg,Tablet,,,,,,0.9473
Ulrab,D,30mg/20mg,Capsule,SR,,,,0.5886
Qucef,LB,200mg,Tablet,,,,,0.0183
ANGINEX,20MG,TABLET,,,,,,0.9285
Femozer,100mg,Injection,,,,,,0.0965
Biomus,2mg,Capsule,,,,,,0.1505
Lifecef,CP,500mg/125mg,Tablet,,,,,0.2785
Arterod,AB,150mg,Injection,,,,,0.8124
Afzone,S,Injection,,,,,,0.3339
CETAPHIL,MOISTURISING,LOTION,250ML,,,,,0.8584
Nordeplin-P,Tablet,,,,,,,0.6805
Lozilon,25mg,Tablet,,,,,,0.0715
Spasgun,20,mg/500,mg,Tablet,,,,0.1843
Regaine,5%,Solution,,,,,,0.9183
Lesaflox,500mg,Tablet,,,,,,0.6151
Moxi-V,Eye,Drop,,,,,,0.4417
Fetal,200,Injection,,,,,,0.6526
Zoxil,125mg,Tablet,,,,,,0.4325
Decet,150mg,Tablet,,,,,,0.6260
Omezol,10mg,Capsule,,,,,,0.0683
Zgflox,50mg,Suspension,,,,,,0.0324
Omdec,50mg,Injection,,,,,,0.6249
A2B,H,40,mg/12.5,mg,Tablet,,,0.0573
Borviz,3.5,Injection,,,,,,0.6207
Rebiyug,DSR,30mg/20mg,Capsule,,,,,0.7667
Zonemox,250mg,Tablet,,,,,,0.1796
Quiclax,5mg,Syrup,,,,,,0.8324
F,20,Tablet,,,,,,0.3777
Snapit,85mg/500mg,Tablet,,,,,,0.4254
Amitril,DS,Tablet,,,,,,0.4518
Azinik,250mg,Tablet,,,,,,0.7175
Amkel,250mg/250mg,Capsule,,,,,,0.1643
Pepzera,20mg,Tablet,,,,,,0.5145
Ultimax,D,30mg/40mg,Capsule,SR,,,,0.6964
Recool,Plus,Eye,Drop,,,,,0.1704
Etrocab,90,Tablet,,,,,,0.5193
Trulock,D,30mg/40mg,Capsule,SR,,,,0.9712
Amikavel,100mg,Injection,,,,,,0.8588
Shonclav,250mg/125mg,Tablet,,,,,,0.9411
Meglipride,2mg,Tablet,,,,,,0.6865
Micpro,200mg,Capsule,,,,,,0.8453
Eupep,Syrup,,,,,,,0.2536
Gate,DM,BAK,Free,Eye,Drop,,,0.3930
Adenol,200mg,Tablet,,,,,,0.0350
Rectol,80,Suppository,,,,,,0.2091
Fal,Q,300mg,Suspension,,,,,0.9340
Metoprol,AM,5mg/50mg,Tablet,XL,,,,0.6926
Ofler,200mg,Infusion,,,,,,0.5601
Emeelos,H,50mg/12.5mg,Tablet,,,,,0.5472
Keptron,4mg,Tablet,MD,,,,,0.3133
Asiclopam,Tablet,,,,,,,0.4483
Entazel,D,Capsule,,,,,,0.2828
Cefo,3,100mg,Tablet,DT,,,,0.1124
Opiz,Mps,Syrup,,,,,,0.5776
Scabidin,Lotion,,,,,,,0.1404
Cefzidome,1gm,Injection,,,,,,0.5409
Metanuron,1500mcg,Injection,,,,,,0.4790
Patspas,N,100mg/10mg,Tablet,,,,,0.1144
BETACARD,25,MG,TABLET,XL,,,,0.8159
Lacasa,200mg,Tablet,,,,,,0.4264
Rimceft,500mg,Injection,,,,,,0.8111
Zolnex-D,10mg/40mg,Tablet,,,,,,0.0887
Glita,Plus,Tablet,,,,,,0.2138
Dicloryl,Tablet,MR,,,,,,0.7688
Inoject,250mg,Injection,,,,,,0.3414
Recozo-DSR,Capsule,,,,,,,0.7214
Nexcan,100mg,Capsule,,,,,,0.4930
Pyraz,500mg,Tablet,,,,,,0.4935
Citilynk,250mg,Injection,,,,,,0.1927
Ridodio,Tablet,,,,,,,0.9763
Deflamas,6mg,Tablet,,,,,,0.6906
Zygon,5IU,Injection,,,,,,0.5786
Fast,N,100mg/15mg,Tablet,,,,,0.2408
Curixime,CV,Dry,Syrup,,,,,0.1868
Synthocillin,250mg,Capsule,,,,,,0.5790
Podocil,CV,200mg/125mg,Tablet,,,,,0.4343
Cifim,O,Syrup,,,,,,0.0335
Olpod,200,Tablet,DT,,,,,0.1879
Pipzam,4000,mg/500,mg,Injection,,,,0.0335
Snomox-CV,625,Tablet,,,,,,0.8205
Ofag,200mg,Tablet,,,,,,0.2476
Raboc,20mg,Tablet,,,,,,0.7328
Milet,1000mg,Injection,,,,,,0.5895
Zixif,100mg,Tablet,,,,,,0.6002
Cefpil,500mg,Tablet,,,,,,0.2881
Rubilon,10mg,Injection,,,,,,0.0666
Intadine,Dusting,Powder,,,,,,0.7100
Mepalex,300mg,Tablet,,,,,,0.6531
Wideclav,1000mg/200mg,Injection,,,,,,0.6846
Pantozyt,D,10mg/40mg,Tablet,,,,,0.3178
Pantova-D,10mg/20mg,Tablet,,,,,,0.5724
Zethyl,P,750mcg/75mg,Capsule,,,,,0.3168
Tegril,200mg,Tablet,CR,,,,,0.5822
Defstar,Syrup,,,,,,,0.1021
Zidi,1gm,Injection,,,,,,0.2593
Pizobactam,4000,mg/500,mg,Injection,,,,0.1005
Lazi,500mg,Tablet,,,,,,0.3851
Prazo-D,Tablet,,,,,,,0.9566
Dolima,D3,Capsule,,,,,,0.7106
Rabgud,PD,75mg,Syrup,,,,,0.4489
Cofik,500mg,Injection,,,,,,0.4126
Dronam,40mg,Injection,,,,,,0.7391
Alinzo,600mg,Tablet,,,,,,0.7473
Voglicon,0.3mg,Tablet,MD,,,,,0.7207
Panatoz,40mg,Tablet,,,,,,0.1347
Parixone,1gm,Injection,,,,,,0.4923
Andep,0.5mg,Tablet,,,,,,0.7353
Mgr,10mg,Tablet,,,,,,0.4848
Inorab,IT,20mg/150mg,Capsule,SR,,,,0.7202
C,Pod,50mg,Tablet,DT,,,,0.6783
Agicef,S,1000mg/500mg,Injection,,,,,0.8870
Priflox,200mg,Tablet,,,,,,0.1769
F.P.P,400000IU,Injection,,,,,,0.3502
Levosed,500mg,Tablet,,,,,,0.0592
Olsem,20mg,Tablet,,,,,,0.1253
Pfanto,D,30mg/40mg,Capsule,SR,,,,0.4288
Sartel,H,80,Tablet,,,,,0.8379
Oflomaxx,R,200mg,Tablet,,,,,0.9370
Vasoglor,90,Tablet,,,,,,0.7822
Cepy,O,Plus,Tablet,,,,,0.9076
Irban,5mg,Tablet,,,,,,0.3480
Inflab,Plus,Tablet,TR,,,,,0.9753
Meuri,Tablet,,,,,,,0.1028
Ciprotus,500mg,Tablet,,,,,,0.6879
Tricinod,40,mg/5,mg/12.5,mg,Tablet,,,0.9499
Itrazlem,100mg,Capsule,,,,,,0.5903
Superb,50mg,Syrup,,,,,,0.9425
Oilpime,1000mg,Injection,,,,,,0.5851
Cefexy,Dry,Syrup,,,,,,0.2543
Oplaf,400mg,Tablet,,,,,,0.4018
Neoben,50mg,Injection,,,,,,0.0339
Escitapax,5mg,Tablet,,,,,,0.6603
Kcbist,8mg,Tablet,,,,,,0.3246
Axspar,200mg,Tablet,,,,,,0.7205
Normagut,2.5mg,Tablet,,,,,,0.9056
RAXIM-O,100,MG,TABLET,,,,,0.1892
Omlar-CV,250mg/50mg,Injection,,,,,,0.3202
Ofgon,OZ,200mg/500mg,Tablet,,,,,0.9506
Rifeasy,200mg,Tablet,,,,,,0.1656
Menet-PG,Tablet,,,,,,,0.4543
SYMOXYL,KID,125,MG,TABLET,,,,0.9643
Panodec,40mg,Injection,,,,,,0.4675
Xcin,200,Tablet,,,,,,0.8859
Nadiskin,Cream,,,,,,,0.0537
Nyadol,250mg,Syrup,,,,,,0.2126
Gentasia-D,Eye/Ear,Drops,,,,,,0.2221
Safexin,P,125mg,Tablet,,,,,0.8867
Itrakyor,100mg,Tablet,,,,,,0.3518
Semi-Euglucon,2.5mg,Tablet,,,,,,0.1409
Exvid,TZ,200mg/600mg,Tablet,,,,,0.5055
Tramasafe,100mg,Injection,,,,,,0.5541
Ondader,2mg,Injection,,,,,,0.9051
Emifix,LB,Dry,Syrup,,,,,0.8592
Neuppi,Tablet,,,,,,,0.2733
Logidec-MR,Tablet,,,,,,,0.7839
Acoflox,OZ,200,mg/500,mg,Tablet,,,0.4661
Ikacin,500mg,Injection,,,,,,0.3307
Oflokem,2mg,Infusion,,,,,,0.9796
Manoxime,250mg,Tablet,,,,,,0.7107
Furolin,CV,500mg/125mg,Tablet,,,,,0.7648
Tetanus,Toxoid,TF,Injection,,,,,0.1586
Clopican,75mg,Tablet,,,,,,0.8299
NF,Retard,10mg,Tablet,,,,,0.9710
Juflox,M,Oral,Suspension,,,,,0.2853
Liscab,Lotion,,,,,,,0.9809
Dipse,50,mg/325,mg/10,mg,Tablet,,,0.5122
Rabenix-D,30mg/20mg,Capsule,SR,,,,,0.7106
Rabishil,DSR,Tablet,,,,,,0.3209
Zetax-AZ,Tablet,,,,,,,0.6385
Regut,Powder,,,,,,,0.0221
Moxilium,Plus,250,mg/250,mg,Tablet,,,0.8432
Ristova,500mg,Injection,,,,,,0.5982
Itapro,100,Capsule,,,,,,0.1766
Biocip,FC,Cream,,,,,,0.6018
Gx,Ola,5gm,Injection,,,,,0.8886
Moxileb,CV,250,mg/125,mg,Tablet,,,0.8647
Acv,500mg,Injection,,,,,,0.8229
Lacryl,2%,Eye,Gel,,,,,0.5581
Moxifit,500mg/125mg,Tablet,,,,,,0.0211
Twinblok,10,Tablet,,,,,,0.9423
Freetens,0.25mg,Tablet,,,,,,0.8939
Thyroxinol,100,Tablet,,,,,,0.3622
Pipsafe-T,4000mg/500mg,Injection,,,,,,0.7013
Defol,6mg,Tablet,,,,,,0.6267
Waladrox,125mg,Suspension,,,,,,0.5857
Cefdix,100mg,Tablet,DT,,,,,0.5577
Flucort,Skin,Lotion,,,,,,0.5345
Lacotide,150mg,Tablet,,,,,,0.7088
Onstair-O,Tablet,,,,,,,0.3998
Sulforyl,M,1mg/500mg,Tablet,,,,,0.6113
Prado,DSR,30mg/40mg,Capsule,,,,,0.2479
Anset,2mg,Injection,,,,,,0.6852
Tagon-M,Tablet,ER,,,,,,0.8417
Sibelium,10mg,Tablet,,,,,,0.2457
Celplat,10mg,Injection,,,,,,0.0027
Ranidom-O,Oral,Suspension,Sugar,Free,,,,0.4797
Tebact,Injection,,,,,,,0.3557
Actspas,P,20mg/325mg,Tablet,,,,,0.4977
Clomic,0.05%,Lotion,,,,,,0.4287
Acecort,40mg,Injection,,,,,,0.6425
Symol,500mg,Tablet,,,,,,0.2452
Helpidase,10mg,Tablet,,,,,,0.6925
C,Tax,250mg,Injection,,,,,0.8421
Gatmox,250mg,Tablet,,,,,,0.3314
Saannerve,Plus,750mcg/75mg,Capsule,,,,,0.0801
Freshup,10mg,Tablet,,,,,,0.0495
Troxpro,100mg,Tablet,,,,,,0.3150
Winodyl,Syrup,,,,,,,0.0206
Rabesta,LY,20mg,Injection,,,,,0.1653
Biotram,50mg,Injection,,,,,,0.3492
Panser,40mg,Tablet,,,,,,0.7256
Cadlone,25mg,Injection,,,,,,0.8267
Tozaar,R,Tablet,,,,,,0.4710
Necef,S,500mg/250mg,Injection,,,,,0.7912
Isort,10mg,Capsule,,,,,,0.2595
Etisec,1000mg,Powder,,,,,,0.5079
